_id,address,gender,salary,valuta,age,position,about_me,category,specialization,resume_link
5f9a567d92b8e1cad7253a48,Москва,Мужчина,80000,руб.,27,Программист 1С,Программист ,"Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/7060047f00076f5cb80039ed1f4d755477686c?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a567d92b8e1cad7253a49,Орел,Женщина,80000,руб.,53,Программист 1С,"ХОРОШЕЕ программирование в среде ""1С: Предприятие 7.7"" для компонент учета : ""Бухгалтерский учет"", ""Расчет"", ""Оперативный учет"".
Программирование в среде ""1С:Предприятие 8.2"" для ""Бухгалтерия предприятия 8.2"", ""Зарплата и управление персоналом 8.2"".
Доработка типовых пакетов по заданию пользователя. Написание новых отчетов, документов. Внедрение, обучение, консультации по автоматизации учета. Помощь бухгалтерам в работе с программами для сдачи отчетности ПФР, НДФЛ.

Имею сертификаты: 

Тесты, экзамены
2018        Специалист-консультант ""Зарплата и управление персоналом 3.1""
2010	Специалист-программист ""Зарплата и управление персоналом"" 8.2  
фирма ""1С""
2007	Профессионал ""УПП 8.0""
фирма ""1С""
2006	Профессионал ""Торговля+склад 7.7""
Фирма ""1С""
2005	Профессионал ""Бухгалтерия 8.0""
Фирма ""1С""
2002	Специалист-программист ""Зарплата и кадры 7.7""
Фирма ""1С""

Очень хорошие знания предметной части бухгалтерского учета и расчета заработной платы, торговых операций.","Бухгалтерия, управленческий учет, финансы предприятия","[""Бухгалтер"",""Учет заработной платы""]",https://hh.ru/resume/86970ff70004774abb0039ed1f663838734c7a?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a567e92b8e1cad7253a4a,Москва,Мужчина,,,38,Программист  1С,"Опыт разработки во всех сегментах работы организации.
Бухгалтерия, производство, розничная и оптовая торговля в том числе и торговое оборудование, написание обменов между базами данных, интеграция с внешними ресурсами: сайты компании, бухгалтерские программы отчетности, прочие системы учета типа SAP и т.д.  Разработка дополнительных отчетов и обработок для нужд пользователей, разработка автоматических программ контроля выполнения участков деятельности компании.
Способен самостоятельно анализировать работу компании и предлагать оптимальные варианты решения как поставленных задач, так и самостоятельно обнаруженных узких мест. 
Любой алгоритм, который человек способен конкретизировать можно передать на исполнение программе, оставив за человеком контрольные функции.
Кроме обслуживания типовых конфигураций 1С 8 и 7.7, пишу базы с нуля, как для персональных компьютеров так и смартфонов, могу объединять в единую сеть или делать просто устройства частичного ввода данных, например для людей в командировках.
Большой практический опыт администрирования от создания серверов под 1С Предприятие, SQL, сервера 1С, расчета и оптимизации производительности, до компьютерных сетей, доступа в интернет и остальных настроек для функционирования организации без сбоев.  Запускаемые мной сервера могут работать в автономном режиме 2-3 года, клиенты о которых уже и забыл, звонят спрашивают пароли от сервера через несколько лет после завершения их проекта.
Легко нахожу общий язык с руководством и рядовыми пользователями 1С, понимаю, чего хотят, способен пожелания превратить в ТЗ и документацию.
По техническим терминам, работаю с Бухгалтерия 2.0, 3.0, Зарплата и управление персоналом 2.5 и 3.1 (включая перенос данных, первичную настройку), Управление Торговлей 10.3, 11.4, Управление производственным предприятием(включая блок производства, расчет выпуска и переделов), подразумевается, установить, обучить, настроить под особенности учета организации, написать доработки которые были в предыдущей версии 1С или предложить решения получше. Форматы обмена между базами txt, xml, xls, прямой обмен через COM, схемы XDTO для обмена с сайтами, для особенных случаев могу написать обмен с сайтом с нуля.
Так же есть опыт работы с консолидацией  бухгалтерской информации из нескольких разных стран, с написанием единой системы бюджетирования и разработка универсальной не требующей программиста программы перевода нашего бух учета в МСФО для отчетности иностранным владельцам компании.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция"",""Администратор баз данных""]",https://hh.ru/resume/4ed972e10004ffac6b0039ed1f6f6775745767?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a567f92b8e1cad7253a4b,Москва,Мужчина,110000,руб.,29,Программист 1С,"Администрирование серверов SQL
Составление ТЗ. 
Составление инструкций и обучение пользователей по работе в конфигурации. 
Администрирование 1С 7.7 и 8.2. 
Доработка конфигураций.
Ответы на вопросы по бухгалтерии и управлению торговлей
Обучение персонала работе с 1С
Перенос данных из 7.7 в 8.2.
Доработка обменов данными между конфигурациями.
Выгрузки XML
Знание конфигураций УПП 1.3. Бух 2.0, УТ 11, Ут 10.3. ЗУП 2.5, Конвертация данных, Документооборот, 
Знание основ бухгалтерского учета","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/f1a3500c00012ee0fc0039ed1f305954713467?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a567f92b8e1cad7253a4c,Москва,Мужчина,160000,руб.,27,Программист 1С,"• Опыт работы программистом 1С - 3 года.
• Имею сертификат ""1С:Специалист по платформе"".
• Очно прошел курс ""Бухгалтерский учет и налогообложение: теория и практика"".
• Разработал конфигурацию по поиску вакансий для программистов. (API)
https://goo.su/1jun ,  https://goo.su/1juN
• С готовностью берусь за новые проекты и довожу дело до конца. Хорошо работаю в команде.","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/76adfdcf0007ab83580039ed1f703941643642?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568092b8e1cad7253a4d,Москва,Мужчина,150000,руб.,42,Программист 1С .,"Опыт работы с 1С с 2002 года. Работал с платформами 1С: 7.7, 8.0, 8.1, 8.2, 8.3. 
Конфигурациями: 
На платформе 7.7: Торговля и Склад,Бухгалтерия, Зарпата и Кадры.
На платформе 8: Управление Торговлей (ред. 11.4 и ранние, а также 10.3), УНФ (Управление Нашей фирмой), Бухгалтерия (2.0 и 3.0), Зарплата и Управление персоналом, Комплексная автоматизация 2.4.

Имею опыт как самостоятельной работы, так и опыт постановки задач сторонним программистам и фирмам на аутсортинге.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Администратор баз данных""]",https://hh.ru/resume/b9155fea00006f35980039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568192b8e1cad7253a4e,Москва,Женщина,150000,руб.,,программист 1С,"Работаю на техподдержке, сопровождении, доработке ПО и консультировании пользователей.. При возможности работать удалённо зарплата обсуждается. Возможна работа на полставки, по совмещению.
Пишите на почту. Вышлю подробное резюме.","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/116c00ea000855241e0039ed1f4b5139766e61?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568192b8e1cad7253a4f,Москва,Мужчина,,,47,1С 7.7 Программист,"Программирование 1с 7.7 . Хорошее знание Бухучета ОСН, УСН, Комиссионная торговля. Сдача отчетности: Контур, Такском, Сбис и др. Автоматизация бухгалтерского и налогового учета в холдинге. Интеграция 1с с маркетплейсами беру и др. ","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""CTO, CIO, Директор по IT"",""CRM системы""]",https://hh.ru/resume/c1100b9f0003168f9a0039ed1f676157493155?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568192b8e1cad7253a50,Москва,Мужчина,120000,руб.,62,Разработчик 1С,"Опыт работы в технических службах на крупных машиностроительных предприятиях. Высокая коммуникабельность.
Работаю без опозданий и вредных привычек.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Консалтинг, Аутсорсинг"",""Системы управления предприятием (ERP)""]",https://hh.ru/resume/4fdd128500015136530039ed1f56514c314e56?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568292b8e1cad7253a51,Красногорск,Мужчина,,,58,1с программист,,"Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/3498f6bf00070e26c50039ed1f6b4d78374a72?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568292b8e1cad7253a52,Ессентуки,Мужчина,180000,руб.,41,Программист 1С,"Хобби:
Придумывание способов решения задач.
Компьютерное ""железо"".
Автомобили.

Личные качества:
Неприятие вредных привычек.
Доведение значимых дел до логического завершения, без поиска отговорок.

Подход к решению задач:
Даже если нет опыта решения подобной задачи, или я вообще не знаю ничего о поставленной задаче, это не означает что я не могу ее решить.

Готов к выполнению любого тестового задания.
Готов к переезду.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция"",""Инженер""]",https://hh.ru/resume/fdce7b2100063827790039ed1f7a476a416172?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568392b8e1cad7253a53,Москва,Мужчина,200000,руб.,27,Ведущий программист-разработчик 1С,,"Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/7226d26500050eb3100039ed1f79344d517145?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568392b8e1cad7253a54,Владивосток,Женщина,,,43,Программист 1С,"Сдан экзамен «1с Профессионал на знание платформы 8.3».
Сертификат ПП880096406 от 27.09.16
Рассматриваю только предложения удаленной занятости. (Просьба обращаться на почту. К сожалению, размещение контактов дает очень много звонков-спам)","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/17dbcd59000352bd0f0039ed1f776a6e495870?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568492b8e1cad7253a55,Москва,Женщина,,,37,Программист 1С,"Курсы:
1) 04.03.2010 курс “Внедрение и адаптация прикладного решения “1C: Управление торговлей” 
2) 20.01.2011 курс “Внедрение и адаптация конфигурации “Бухгалтерия предприятия”
3) 11.04.2014 курс “Конфигурирование подсистем расчета зарплаты и управления персоналом в прикладных решениях для 1С:Предприятия”
4) 04.07.2014 курс ""Конфигурирование платформы 8.3""
5) 27.07.2016  ""Оптимизация производительности MS SQL""
6) 20.07.2016 1C 8.3 Средства интеграции и обмена данными (распределенные базы данных)
7) 16.02.2017 - 17.02.2017 Конвертация данных 3.0
8) 05.04.2017 Конвертация данных 2.1 WEB-курс
9) 19.02.2018 WEB-курс Web-сервисы (SOAP), HTTP-сервисы, oData (автоматический REST-сервис)

Сертификаты профессионал:
1) УТ 8.1 (25.11.2009)
2) Бухгалтерия 8.2 (23.12.2010)
3) УПП 8.2 (02.06.2011)
4) Платформа 8.2

Сертификаты специалист:
1) УТ 8.1 (03.12.2010) 
2) Бухгалтерия 8.2 (18.03.2011) 
3) ЗУП 8.2 (29.07.2011) 
4) Платформа 8.3 (11.02.2017)

Дополнительно: 
1) Хорошо знаю SQL. Оптимизирую производительность запросов и знаю как в 1С обойтись без рекурсивных запросов.
2) Пишу качественный код под большие объемы данных, уделяя внимание целостности функционала. Т.к. ранее работала с реляционными БД под управлением СУБД, имею классический, правильный унаследованный почерк тонкого клиента разрабатываемых решений и в 1С. 

- предпочтение БЕЛОЙ з/п

БОЛЬШАЯ ПРОСЬБА ПРЕДУПРЕЖДАТЬ ЗАРАНЕЕ, ПЕРЕД СОБЕСЕДОВАНИЕМ, ЕСЛИ:

1. ПОСЛЕ ПРОХОЖДЕНИЯ СОБЕСЕДОВАНИЯ ВЫДАЮТСЯ ДОМАШНИЕ ТЕСТОВЫЕ ЗАДАНИЯ
2. ЕСЛИ З/ПЛ НА ИСПЫТАТЕЛЬНЫЙ СРОК НИЖЕ
3. ПЕРВОЕ СОБЕСЕДОВАНИЕ ПРОХОДИТ В ОФИСЕ ТОЛЬКО С КАДРОВЫМ РАБОТНИКОМ","Информационные технологии, интернет, телеком","[""Программирование, Разработка""]",https://hh.ru/resume/2a194e2b0000ecb2c50039ed1f713356655255?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568492b8e1cad7253a56,Москва,Мужчина,,,37,Программист 1С (удаленная работа),"Работаю исключительно удаленно. Зарегистрирован в качестве индивидуального предпринимателя.

Работаю со всеми версиями 1С Предприятие (7.7, 8.х).
Имеется опыт полностью самостоятельного внедрения конфигураций, а также опыт разработки конфигурации на управляемых формах ""с нуля"").

Знаком с основами бухгалтерского учета, расчета заработной платы, документооборота и оптово-розничной (в том числе, комиссионной торговли).

Имею ясное представление о ведении проектов на всех этапах - от постановки задачи до тестирования и внедрения.
Имею опыт интеграции 1С со сторонними сервисами посредством web сервисов, а также опыт создания и использования http сервисов на базе 1С.

Сертификаты 1С:Предприятие 8.0 в категории 1С:Профессионал по конф. ""1С:Управление Торговлей"", ""1С:Бухгалтерия Предприятия"".

Сильные стороны характера: целеустремленность, обучаемость, дисциплинированность, ответственность, коммуникабельность.

Рекомендации предоставляются по запросу.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция""]",https://hh.ru/resume/7e12d3160000752bea0039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568492b8e1cad7253a57,Москва,Мужчина,120000,руб.,52,Программист 1С.,"Умею конфигурировать и администрировать 1С 7.7 и 8. Доработка, внешние отчеты и обработки, перенос информации. Имею знания по бухгалтерскому и управленческому учету, ценным бумагам и другим экономическим инструментам... Умею работать в коллективе с людьми (техподдержка офисных работников, не только 1С), неконфликтен, обязателен. Ищу работу на длительный срок.","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системы управления предприятием (ERP)""]",https://hh.ru/resume/37eea5dd00004f5efe0039ed1f736563726574?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568592b8e1cad7253a58,Москва,Мужчина,150000,руб.,35,Программист 1С,,"Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Системная интеграция"",""Инженер""]",https://hh.ru/resume/cfa1118200074205ee0039ed1f6a647a6a3731?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568592b8e1cad7253a59,Москва,Мужчина,,,32,Ведущий программист 1С (удаленно),"Личные качества: 
Аналитический склад ума, работоспособность, быстрая обучаемость , настойчивость в реализовании задачи, целеустремленность, коммуникабельность, исполнительность.

Огромное желание работать и зарабатывать , прилагать все усилия и опыт для достижения поставленной задачи","Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Инженер""]",https://hh.ru/resume/f7689fc80005592ca90039ed1f464664375671?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
5f9a568692b8e1cad7253a5a,Москва,Мужчина,69000,руб.,46,Программист 1С (удаленно из г. Белгород) на 60 час/мес 1150р/час,,"Информационные технологии, интернет, телеком","[""Программирование, Разработка"",""Инженер""]",https://hh.ru/resume/87bfe46400061545600039ed1f3433574c5753?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82+1%D1%81&hhtmFrom=resume_search_result
